Matricule;Établissement;Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Service;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Absence longue en cours;Mandat;Bénéficiaire obligation emploi;Observations
M050001;Agence Nord;ABDELKADER;Sami;H;12/09/2005;Française;;01/09/2025;31/08/2027;Apprentissage;Employé;Réseau;Apprenti conseiller clientèle;Temps plein;1 210;A;;;;APPRENTI — exclu de l’effectif (L.1111-3, 1°) et de l’index
M050002;Agence Sud;BARRE;Justine;F;04/02/2003;Française;;01/10/2025;30/09/2026;Contrat de professionnalisation;Employé;Réseau;Chargée d’accueil en alternance;Temps plein;1 520;A;;;;CONTRAT PRO — exclu de l’effectif (L.1111-3, 3°)
M050003;Centre de services clients;CISSÉ;Mamadou;H;18/06/1996;Malienne;Carte de résident;01/03/2025;31/12/2025;Contrat unique d’insertion;Employé;Réseau;Agent logistique;Temps plein;1 900;A;;;;CONTRAT AIDÉ — exclu de l’effectif (L.1111-3, 4°) tant que l’aide court
M050004;Siège;DIALLO;Fatou;F;25/11/1999;Guinéenne;Carte de séjour pluriannuelle;01/02/2026;31/07/2026;Stage;Employé;Réseau;Stagiaire conformité;Temps plein;640;;;;;STAGIAIRE — non salarié, hors effectif
M050005;Centre de services clients;ESCUDIER;Bruno;H;07/07/1990;Française;;05/01/2025;;Intérim;Employé;Réseau;Renfort back-office;Temps plein;2 260;B;;;;INTÉRIMAIRE d’une ETT — mis à disposition CHEZ nous : exclu de notre index
M050006;Siège;FONTAINE;Claire;F;19/03/1986;Française;;01/09/2012;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;4 960;I;;;;MISE À DISPOSITION par nous auprès d’une filiale — reste NOTRE salariée
M050007;Siège;GONZALEZ;Pablo;H;22/08/1982;Espagnole;;01/06/2014;;CDI;Cadre;Systèmes d’information;Responsable des systèmes de paiement;Temps plein;5 380;J;;;;EXPATRIÉ — détaché à Madrid : exclu de l’index (D.1142-2)
M050008;Agence Nord;HAMDANI;Yasmine;F;30/04/1991;Française;;01/09/2015;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 690;D;Congé parental d’éducation du 01/01/2025 au 31/12/2025;;;CONGÉ PARENTAL toute l’année 2025 — absente plus de la moitié de la période
M050009;Agence Est;IBRAHIM;Sarah;F;11/12/1988;Française;;01/03/2013;;CDI;TAM;Crédit;Analyste crédit;Temps plein;3 420;F;Congé maternité du 02/01/2025 au 20/05/2025, parental jusqu’au 31/08/2025;;;CONGÉ MATERNITÉ puis parental — retour en septembre 2025
M050010;Siège;JOURDAIN;Hervé;H;05/05/1975;Française;;01/09/2001;;CDI;Cadre;Contrôle interne;Contrôleur des risques;Temps plein;5 120;I;Arrêt de travail du 01/02/2025 au 31/12/2025;;;ARRÊT MALADIE LONGUE DURÉE — plus de six mois
M050011;Agence Ouest;KACIMI;Nabil;H;17/10/1979;Française;;01/04/2006;;CDI;Cadre;Réseau;Chargé d’affaires entreprises;Temps plein;5 240;I;Congé sabbatique du 01/03/2025 au 31/08/2025;;;CONGÉ SABBATIQUE de six mois
M050012;Centre de services clients;LEMOINE;Odile;F;28/01/1968;Française;;01/09/1994;;CDI;Employé;Back-office;Gestionnaire back-office;Temps plein;2 830;D;Congé de proche aidant, 4 mois cumulés en 2025;;;CONGÉ DE PROCHE AIDANT fractionné
M050013;Centre de services clients;MARTINET;Jean-Paul;H;03/06/1972;Française;;01/09/1998;;CDI;TAM;Back-office;Superviseur back-office;Temps plein;3 490;G;;Élu titulaire CSE — secrétaire;;SALARIÉ PROTÉGÉ — autorisation de l’inspection du travail (L.2411-1)
M050014;Agence Nord;NAVARRO;Aline;F;14/09/1980;Française;;01/03/2007;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 760;D;;Déléguée syndicale;;SALARIÉE PROTÉGÉE
M050015;Agence Est;OUEDRAOGO;Aïcha;F;21/02/1985;Burkinabè;Carte de résident;01/09/2011;;CDI;TAM;Crédit;Chargée d’études;Temps plein;3 380;F;;Élue titulaire CSE — trésorière;;SALARIÉE PROTÉGÉE
M050016;Siège;PIETRI;Marc;H;09/11/1977;Française;;01/06/2003;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;5 460;J;;Représentant syndical au CSE;;SALARIÉ PROTÉGÉ
M050017;Agence Nord;QUINTANA;Rosa;F;01/03/1982;Française;;01/09/2009;;CDI;Employé;Réseau;Chargée d’accueil;Temps plein;2 480;C;;;Oui;Bénéficiaire de l’obligation d’emploi — décompte des 6 % (L.5212-2)
M050018;Centre de services clients;RAVEL;Denis;H;02/03/1982;Française;;01/09/2009;;CDI;Employé;Réseau;Gestionnaire back-office;Temps plein;2 560;C;;;Oui;Bénéficiaire de l’obligation d’emploi — décompte des 6 % (L.5212-2)
M050019;Agence Sud;SAADI;Leïla;F;03/03/1982;Française;;01/09/2009;;CDI;TAM;Réseau;Technicienne des métiers de la banque;Temps plein;3 210;E;;;Oui;Bénéficiaire de l’obligation d’emploi — décompte des 6 % (L.5212-2)
M050020;Siège;TALBOT;Gérard;H;04/03/1982;Française;;01/09/2009;;CDI;Cadre;Réseau;Analyste financier;Temps plein;4 830;H;;;Oui;Bénéficiaire de l’obligation d’emploi — décompte des 6 % (L.5212-2)
M050021;Agence Ouest;URBANI;Sonia;F;05/03/1982;Française;;01/09/2009;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 640;D;;;Oui;Bénéficiaire de l’obligation d’emploi — décompte des 6 % (L.5212-2)
M050022;Siège;VASSILIOU;Nikos;H;16/04/1984;Grecque;;01/09/2019;;CDI de chantier;Cadre;Systèmes d’information;Chef de projet migration informatique;Forfait jours;5 640;J;;;;CDI DE CHANTIER OU D’OPÉRATION — rupture à la fin du projet (L.1223-8)
M050023;Siège;WEBER;Ingrid;F;02/02/1976;Allemande;;01/09/2005;;CDI;Cadre;Conformité;Directrice de la conformité;Forfait jours;7 380;K;;;;FORFAIT JOURS — 218 jours, convention individuelle écrite exigée (L.3121-55)
M050024;Centre de services clients;XAVIER;Béatrice;F;25/07/1987;Française;;01/09/2016;;CDI;Employé;Réseau;Conseillère clientèle à distance;90 %;2 460;D;;;;TÉLÉTRAVAIL trois jours par semaine — avenant au contrat
M050025;Agence Sud;YILDIRIM;Emre;H;08/08/1993;Turque;Carte de séjour pluriannuelle;01/09/2021;;CDI intermittent;Employé;Réseau;Agent d’accueil saisonnier;Temps partiel annualisé;1 640;B;;;;CDI INTERMITTENT — alternance de périodes travaillées et non travaillées (L.3123-33)
M050026;Agence Ouest;ZAOUI;Myriam;F;13/01/1970;Française;;01/09/1996;;CDI;Cadre;Réseau;Directrice d’agence;80 %;5 120;J;;;;RETRAITE PROGRESSIVE — temps partiel de fin de carrière
M050027;Centre de services clients;ANGELOT;Renée;F;19/09/1958;Française;;01/09/1985;;CDI;Employé;Back-office;Gestionnaire back-office;Temps plein;2 910;D;Dispense d’activité depuis le 01/01/2025;;;PRÉRETRAITE — écarté de l’index (D.1142-2)
M050028;Agence Nord;BAUDOIN;Céline;F;05/05/1992;Française;;01/09/2021;31/08/2020;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 610;D;;;;SORTIE ANTÉRIEURE À L’ENTRÉE
M050029;Agence Sud;CHARDON;Timéo;H;14/06/2011;Française;;01/09/2025;;CDI;Employé;Réseau;Agent d’accueil;Temps plein;1 900;A;;;;QUINZE ANS EN CDI — sous l’âge minimum (L.4153-1)
M050030;Centre de services clients;DELMAS;Antoine;H;30/03/2000;Française;;01/07/2024;;CDD accroissement;Employé;Réseau;Chargé de recouvrement;Temps plein;2 320;B;;;;CDD SANS TERME — L.1242-12
M050031;Agence Ouest;ESTEVE;Malo;H;02/12/1998;Française;;01/03/2023;;CDI;Employé;Réseau;Conseiller clientèle;Temps plein;1 420;B;;;;SALAIRE SOUS LE SMIC POUR UN TEMPS PLEIN
M050032;Siège;FILIPPI;Joseph;H;11/11/1948;Française;;01/09/1975;;CDI;Cadre;Réseau;Conseiller de la direction générale;Temps plein;6 240;K;;;;SOIXANTE-DIX-HUIT ANS, contrat toujours ouvert (L.1237-5)
M050033;Agence Est;GRIMALDI;Laura;F;28/02/1990;Italienne;;01/09/2018;;;Employé;Réseau;Gestionnaire de flux;Temps plein;2 590;C;;;;NATURE DU CONTRAT ABSENTE
M050034;Siège;HUBERT;Sacha;;;Française;;;;;;Réseau;;;;;;;;LIGNE PRESQUE VIDE
M050035;Agence Nord;IVANOV;Elena;F;07/07/1987;Roumaine;;01/09/2014;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 700;D;;;;DOUBLON n°1 — fiche saisie deux fois ?
M050036;Agence Nord;IVANOV;Elena;F;07/07/1987;Roumaine;;01/09/2014;;CDI;Employé;Réseau;Conseillère clientèle;Temps plein;2 700;D;;;;DOUBLON n°2
M050037;Agence Sud;JACQUET;Julien;H;03/03/1983;Française;;01/09/2010;;CDI;TAM;Réseau;Analyste crédit;Temps plein;3 340;F;;;;HOMONYME n°1 — date de naissance différente
M050038;Agence Est;JACQUET;Julien;H;19/10/1994;Française;;01/04/2019;;CDI;Employé;Réseau;Conseiller clientèle;Temps plein;2 620;D;;;;HOMONYME n°2
M050039;Agence Ouest;KOWALCZYK;Piotr;H;21/05/1981;Polonaise;;01/09/2008;;CDI;Cadre;Réseau;Chargé d’affaires entreprises;Temps plein;5 180,40 €;I;;;;Espace insécable et symbole euro
M050040;Agence Nord;LAGARDÈRE;Sixtine;F;1983-11-08;Française;;2011-02-01;;CDI;TAM;Réseau;Responsable d’unité;Temps plein;3.420,00;G;;;;Dates ISO, point comme séparateur de milliers
M050041;Siège;MOUKARZEL;Élie;H;17-07-1979;Libanaise;Carte de résident;03-09-2007;;C.D.I.;Cadre;Réseau;Directeur des engagements;Temps complet;6 340 euros;K;;;;Dates à tirets, contrat pointé
M050042;Centre de services clients;NGUYEN VAN;Thi Mai;Mme;09/09/1989;Vietnamienne;Carte de séjour pluriannuelle;01/09/2017;;CDI;Employé;Réseau;Chargée de clientèle particuliers;Mi-temps;1 380;C;;;;Nom en trois mots, civilité au lieu du sexe, mi-temps en toutes lettres
M050043;Siège;  o’connor  ;  seamus  ; h ; 12/12/1986 ; Irlandaise ;; 01/09/2013 ;; cdi ; cadre ;Réseau;Responsable des risques opérationnels; temps plein ; 5 060 ; I ;;;;Minuscules, apostrophe courbe, espaces
